,Date,Time,Hours,Minutes,Month,Power,Status,Week Day,Weekend or weekday,Part of the day
198926,2022-01-02,03:45:00,3,45,1,0,W,Sunday,Weekend,Night
198927,2022-01-02,04:00:00,4,0,1,0,W,Sunday,Weekend,Morning
198928,2022-01-02,04:15:00,4,15,1,0,W,Sunday,Weekend,Morning
198929,2022-01-02,04:30:00,4,30,1,0,W,Sunday,Weekend,Morning
198930,2022-01-02,04:45:00,4,45,1,0,W,Sunday,Weekend,Morning
198931,2022-01-02,05:00:00,5,0,1,0,W,Sunday,Weekend,Morning
198932,2022-01-02,05:15:00,5,15,1,0,W,Sunday,Weekend,Morning
198933,2022-01-02,05:30:00,5,30,1,0,W,Sunday,Weekend,Morning
198934,2022-01-02,05:45:00,5,45,1,0,W,Sunday,Weekend,Morning
198935,2022-01-02,06:00:00,6,0,1,0,W,Sunday,Weekend,Morning
198936,2022-01-02,06:15:00,6,15,1,0,W,Sunday,Weekend,Morning
198937,2022-01-02,06:30:00,6,30,1,0,W,Sunday,Weekend,Morning
198938,2022-01-02,06:45:00,6,45,1,0,W,Sunday,Weekend,Morning
198939,2022-01-02,07:00:00,7,0,1,0,W,Sunday,Weekend,Morning
198940,2022-01-02,07:15:00,7,15,1,0,W,Sunday,Weekend,Morning
198941,2022-01-02,07:30:00,7,30,1,0,W,Sunday,Weekend,Morning
198942,2022-01-02,07:45:00,7,45,1,0,W,Sunday,Weekend,Morning
198943,2022-01-02,08:00:00,8,0,1,0,W,Sunday,Weekend,Morning
198944,2022-01-02,08:15:00,8,15,1,0,W,Sunday,Weekend,Morning
198945,2022-01-02,08:30:00,8,30,1,6.4,W,Sunday,Weekend,Morning
198946,2022-01-02,08:45:00,8,45,1,24,W,Sunday,Weekend,Morning
198947,2022-01-02,09:00:00,9,0,1,43.2,W,Sunday,Weekend,Morning
198948,2022-01-02,09:15:00,9,15,1,104,W,Sunday,Weekend,Morning
198949,2022-01-02,09:30:00,9,30,1,73.6,W,Sunday,Weekend,Morning
198950,2022-01-02,09:45:00,9,45,1,75.2,W,Sunday,Weekend,Morning
198951,2022-01-02,10:00:00,10,0,1,86.4,W,Sunday,Weekend,Morning
198952,2022-01-02,10:15:00,10,15,1,182.4,W,Sunday,Weekend,Morning
198953,2022-01-02,10:30:00,10,30,1,211.2,W,Sunday,Weekend,Morning
198954,2022-01-02,10:45:00,10,45,1,238.4,W,Sunday,Weekend,Morning
198955,2022-01-02,11:00:00,11,0,1,214.4,W,Sunday,Weekend,Morning
198956,2022-01-02,11:15:00,11,15,1,148.8,W,Sunday,Weekend,Morning
198957,2022-01-02,11:30:00,11,30,1,136,W,Sunday,Weekend,Morning
198958,2022-01-02,11:45:00,11,45,1,121.6,W,Sunday,Weekend,Morning
198959,2022-01-02,12:00:00,12,0,1,200,W,Sunday,Weekend,Afternoon
198960,2022-01-02,12:15:00,12,15,1,161.6,W,Sunday,Weekend,Afternoon
198961,2022-01-02,12:30:00,12,30,1,272,W,Sunday,Weekend,Afternoon
198962,2022-01-02,12:45:00,12,45,1,128,W,Sunday,Weekend,Afternoon
198963,2022-01-02,13:00:00,13,0,1,81.6,W,Sunday,Weekend,Afternoon
198964,2022-01-02,13:15:00,13,15,1,44.8,W,Sunday,Weekend,Afternoon
198965,2022-01-02,13:30:00,13,30,1,33.6,W,Sunday,Weekend,Afternoon
198966,2022-01-02,13:45:00,13,45,1,33.6,W,Sunday,Weekend,Afternoon
198967,2022-01-02,14:00:00,14,0,1,27.2,W,Sunday,Weekend,Afternoon
198968,2022-01-02,14:15:00,14,15,1,32,W,Sunday,Weekend,Afternoon
198969,2022-01-02,14:30:00,14,30,1,73.6,W,Sunday,Weekend,Afternoon
198970,2022-01-02,14:45:00,14,45,1,80,W,Sunday,Weekend,Afternoon
198971,2022-01-02,15:00:00,15,0,1,94.4,W,Sunday,Weekend,Afternoon
198972,2022-01-02,15:15:00,15,15,1,86.4,W,Sunday,Weekend,Afternoon
198973,2022-01-02,15:30:00,15,30,1,48,W,Sunday,Weekend,Afternoon
198974,2022-01-02,15:45:00,15,45,1,46.4,W,Sunday,Weekend,Afternoon
198975,2022-01-02,16:00:00,16,0,1,27.2,W,Sunday,Weekend,Afternoon
198976,2022-01-02,16:15:00,16,15,1,12.8,W,Sunday,Weekend,Afternoon
198977,2022-01-02,16:30:00,16,30,1,1.6,W,Sunday,Weekend,Afternoon
198978,2022-01-02,16:45:00,16,45,1,0,W,Sunday,Weekend,Afternoon
198979,2022-01-02,17:00:00,17,0,1,0,W,Sunday,Weekend,Afternoon
198980,2022-01-02,17:15:00,17,15,1,0,W,Sunday,Weekend,Afternoon
198981,2022-01-02,17:30:00,17,30,1,0,W,Sunday,Weekend,Afternoon
198982,2022-01-02,17:45:00,17,45,1,0,W,Sunday,Weekend,Afternoon
198983,2022-01-02,18:00:00,18,0,1,0,W,Sunday,Weekend,Afternoon
198984,2022-01-02,18:15:00,18,15,1,0,W,Sunday,Weekend,Afternoon
198985,2022-01-02,18:30:00,18,30,1,0,W,Sunday,Weekend,Afternoon
198986,2022-01-02,18:45:00,18,45,1,0,W,Sunday,Weekend,Afternoon
198987,2022-01-02,19:00:00,19,0,1,0,W,Sunday,Weekend,Afternoon
198988,2022-01-02,19:15:00,19,15,1,0,W,Sunday,Weekend,Afternoon
198989,2022-01-02,19:30:00,19,30,1,0,W,Sunday,Weekend,Afternoon
198990,2022-01-02,19:45:00,19,45,1,0,W,Sunday,Weekend,Afternoon
198991,2022-01-02,20:00:00,20,0,1,0,W,Sunday,Weekend,Night
198992,2022-01-02,20:15:00,20,15,1,0,W,Sunday,Weekend,Night
198993,2022-01-02,20:30:00,20,30,1,0,W,Sunday,Weekend,Night
198994,2022-01-02,20:45:00,20,45,1,0,W,Sunday,Weekend,Night
198995,2022-01-02,21:00:00,21,0,1,0,W,Sunday,Weekend,Night
198996,2022-01-02,21:15:00,21,15,1,0,W,Sunday,Weekend,Night
198997,2022-01-02,21:30:00,21,30,1,0,W,Sunday,Weekend,Night
198998,2022-01-02,21:45:00,21,45,1,0,W,Sunday,Weekend,Night
198999,2022-01-02,22:00:00,22,0,1,0,W,Sunday,Weekend,Night
199000,2022-01-02,22:15:00,22,15,1,0,W,Sunday,Weekend,Night
199001,2022-01-02,22:30:00,22,30,1,0,W,Sunday,Weekend,Night
199002,2022-01-02,22:45:00,22,45,1,0,W,Sunday,Weekend,Night
199003,2022-01-02,23:00:00,23,0,1,0,W,Sunday,Weekend,Night
199004,2022-01-02,23:15:00,23,15,1,0,W,Sunday,Weekend,Night
199005,2022-01-02,23:30:00,23,30,1,0,W,Sunday,Weekend,Night
199006,2022-01-02,23:45:00,23,45,1,0,W,Sunday,Weekend,Night
199007,2022-01-03,00:00:00,0,0,1,0,W,Monday,Workday,Night
199008,2022-01-03,00:15:00,0,15,1,0,W,Monday,Workday,Night
199009,2022-01-03,00:30:00,0,30,1,0,W,Monday,Workday,Night
199010,2022-01-03,00:45:00,0,45,1,0,W,Monday,Workday,Night
199011,2022-01-03,01:00:00,1,0,1,0,W,Monday,Workday,Night
199012,2022-01-03,01:15:00,1,15,1,0,W,Monday,Workday,Night
199013,2022-01-03,01:30:00,1,30,1,0,W,Monday,Workday,Night
199014,2022-01-03,01:45:00,1,45,1,0,W,Monday,Workday,Night
199015,2022-01-03,02:00:00,2,0,1,0,W,Monday,Workday,Night
199016,2022-01-03,02:15:00,2,15,1,0,W,Monday,Workday,Night
199017,2022-01-03,02:30:00,2,30,1,0,W,Monday,Workday,Night
199018,2022-01-03,02:45:00,2,45,1,0,W,Monday,Workday,Night
199019,2022-01-03,03:00:00,3,0,1,0,W,Monday,Workday,Night
199020,2022-01-03,03:15:00,3,15,1,0,W,Monday,Workday,Night
199021,2022-01-03,03:30:00,3,30,1,0,W,Monday,Workday,Night
199022,2022-01-03,03:45:00,3,45,1,0,W,Monday,Workday,Night
199023,2022-01-03,04:00:00,4,0,1,0,W,Monday,Workday,Morning
199024,2022-01-03,04:15:00,4,15,1,0,W,Monday,Workday,Morning
199025,2022-01-03,04:30:00,4,30,1,0,W,Monday,Workday,Morning
199026,2022-01-03,04:45:00,4,45,1,0,W,Monday,Workday,Morning
199027,2022-01-03,05:00:00,5,0,1,0,W,Monday,Workday,Morning
199028,2022-01-03,05:15:00,5,15,1,0,W,Monday,Workday,Morning
199029,2022-01-03,05:30:00,5,30,1,0,W,Monday,Workday,Morning
199030,2022-01-03,05:45:00,5,45,1,0,W,Monday,Workday,Morning
199031,2022-01-03,06:00:00,6,0,1,0,W,Monday,Workday,Morning
199032,2022-01-03,06:15:00,6,15,1,0,W,Monday,Workday,Morning
199033,2022-01-03,06:30:00,6,30,1,0,W,Monday,Workday,Morning
199034,2022-01-03,06:45:00,6,45,1,0,W,Monday,Workday,Morning
199035,2022-01-03,07:00:00,7,0,1,0,W,Monday,Workday,Morning
199036,2022-01-03,07:15:00,7,15,1,0,W,Monday,Workday,Morning
199037,2022-01-03,07:30:00,7,30,1,0,W,Monday,Workday,Morning
199038,2022-01-03,07:45:00,7,45,1,0,W,Monday,Workday,Morning
199039,2022-01-03,08:00:00,8,0,1,0,W,Monday,Workday,Morning
199040,2022-01-03,08:15:00,8,15,1,0,W,Monday,Workday,Morning
199041,2022-01-03,08:30:00,8,30,1,0,W,Monday,Workday,Morning
199042,2022-01-03,08:45:00,8,45,1,3.2,W,Monday,Workday,Morning
199043,2022-01-03,09:00:00,9,0,1,1.6,W,Monday,Workday,Morning
199044,2022-01-03,09:15:00,9,15,1,1.6,W,Monday,Workday,Morning
199045,2022-01-03,09:30:00,9,30,1,9.6,W,Monday,Workday,Morning
199046,2022-01-03,09:45:00,9,45,1,48,W,Monday,Workday,Morning
199047,2022-01-03,10:00:00,10,0,1,104,W,Monday,Workday,Morning
199048,2022-01-03,10:15:00,10,15,1,76.8,W,Monday,Workday,Morning
199049,2022-01-03,10:30:00,10,30,1,155.2,W,Monday,Workday,Morning
199050,2022-01-03,10:45:00,10,45,1,190.4,W,Monday,Workday,Morning
199051,2022-01-03,11:00:00,11,0,1,96,W,Monday,Workday,Morning
199052,2022-01-03,11:15:00,11,15,1,108.8,W,Monday,Workday,Morning
199053,2022-01-03,11:30:00,11,30,1,86.4,W,Monday,Workday,Morning
199054,2022-01-03,11:45:00,11,45,1,35.2,W,Monday,Workday,Morning
199055,2022-01-03,12:00:00,12,0,1,20.8,W,Monday,Workday,Afternoon
199056,2022-01-03,12:15:00,12,15,1,24,W,Monday,Workday,Afternoon
199057,2022-01-03,12:30:00,12,30,1,16,W,Monday,Workday,Afternoon
199058,2022-01-03,12:45:00,12,45,1,64,W,Monday,Workday,Afternoon
199059,2022-01-03,13:00:00,13,0,1,137.6,W,Monday,Workday,Afternoon
199060,2022-01-03,13:15:00,13,15,1,142.4,W,Monday,Workday,Afternoon
199061,2022-01-03,13:30:00,13,30,1,131.2,W,Monday,Workday,Afternoon
199062,2022-01-03,13:45:00,13,45,1,88,W,Monday,Workday,Afternoon
199063,2022-01-03,14:00:00,14,0,1,94.4,W,Monday,Workday,Afternoon
199064,2022-01-03,14:15:00,14,15,1,80,W,Monday,Workday,Afternoon
199065,2022-01-03,14:30:00,14,30,1,83.2,W,Monday,Workday,Afternoon
199066,2022-01-03,14:45:00,14,45,1,105.6,W,Monday,Workday,Afternoon
199067,2022-01-03,15:00:00,15,0,1,116.8,W,Monday,Workday,Afternoon
199068,2022-01-03,15:15:00,15,15,1,112,W,Monday,Workday,Afternoon
199069,2022-01-03,15:30:00,15,30,1,76.8,W,Monday,Workday,Afternoon
199070,2022-01-03,15:45:00,15,45,1,52.8,W,Monday,Workday,Afternoon
199071,2022-01-03,16:00:00,16,0,1,40,W,Monday,Workday,Afternoon
199072,2022-01-03,16:15:00,16,15,1,6.4,W,Monday,Workday,Afternoon
199073,2022-01-03,16:30:00,16,30,1,0,W,Monday,Workday,Afternoon
199074,2022-01-03,16:45:00,16,45,1,0,W,Monday,Workday,Afternoon
199075,2022-01-03,17:00:00,17,0,1,0,W,Monday,Workday,Afternoon
199076,2022-01-03,17:15:00,17,15,1,0,W,Monday,Workday,Afternoon
199077,2022-01-03,17:30:00,17,30,1,0,W,Monday,Workday,Afternoon
199078,2022-01-03,17:45:00,17,45,1,0,W,Monday,Workday,Afternoon
199079,2022-01-03,18:00:00,18,0,1,0,W,Monday,Workday,Afternoon
199080,2022-01-03,18:15:00,18,15,1,0,W,Monday,Workday,Afternoon
199081,2022-01-03,18:30:00,18,30,1,0,W,Monday,Workday,Afternoon
199082,2022-01-03,18:45:00,18,45,1,0,W,Monday,Workday,Afternoon
199083,2022-01-03,19:00:00,19,0,1,0,W,Monday,Workday,Afternoon
199084,2022-01-03,19:15:00,19,15,1,0,W,Monday,Workday,Afternoon
199085,2022-01-03,19:30:00,19,30,1,0,W,Monday,Workday,Afternoon
199086,2022-01-03,19:45:00,19,45,1,0,W,Monday,Workday,Afternoon
199087,2022-01-03,20:00:00,20,0,1,0,W,Monday,Workday,Night
199088,2022-01-03,20:15:00,20,15,1,0,W,Monday,Workday,Night
199089,2022-01-03,20:30:00,20,30,1,0,W,Monday,Workday,Night
199090,2022-01-03,20:45:00,20,45,1,0,W,Monday,Workday,Night
199091,2022-01-03,21:00:00,21,0,1,0,W,Monday,Workday,Night
199092,2022-01-03,21:15:00,21,15,1,0,W,Monday,Workday,Night
199093,2022-01-03,21:30:00,21,30,1,0,W,Monday,Workday,Night
199094,2022-01-03,21:45:00,21,45,1,0,W,Monday,Workday,Night
199095,2022-01-03,22:00:00,22,0,1,0,W,Monday,Workday,Night
199096,2022-01-03,22:15:00,22,15,1,0,W,Monday,Workday,Night
199097,2022-01-03,22:30:00,22,30,1,0,W,Monday,Workday,Night
199098,2022-01-03,22:45:00,22,45,1,0,W,Monday,Workday,Night
199099,2022-01-03,23:00:00,23,0,1,0,W,Monday,Workday,Night
199100,2022-01-03,23:15:00,23,15,1,0,W,Monday,Workday,Night
199101,2022-01-03,23:30:00,23,30,1,0,W,Monday,Workday,Night
199102,2022-01-03,23:45:00,23,45,1,0,W,Monday,Workday,Night
199103,2022-01-04,00:00:00,0,0,1,0,W,Tuesday,Workday,Night
199104,2022-01-04,00:15:00,0,15,1,0,W,Tuesday,Workday,Night
199105,2022-01-04,00:30:00,0,30,1,0,W,Tuesday,Workday,Night
199106,2022-01-04,00:45:00,0,45,1,0,W,Tuesday,Workday,Night
199107,2022-01-04,01:00:00,1,0,1,0,W,Tuesday,Workday,Night
199108,2022-01-04,01:15:00,1,15,1,0,W,Tuesday,Workday,Night
199109,2022-01-04,01:30:00,1,30,1,0,W,Tuesday,Workday,Night
199110,2022-01-04,01:45:00,1,45,1,0,W,Tuesday,Workday,Night
199111,2022-01-04,02:00:00,2,0,1,0,W,Tuesday,Workday,Night
199112,2022-01-04,02:15:00,2,15,1,0,W,Tuesday,Workday,Night
199113,2022-01-04,02:30:00,2,30,1,0,W,Tuesday,Workday,Night
199114,2022-01-04,02:45:00,2,45,1,0,W,Tuesday,Workday,Night
199115,2022-01-04,03:00:00,3,0,1,0,W,Tuesday,Workday,Night
199116,2022-01-04,03:15:00,3,15,1,0,W,Tuesday,Workday,Night
199117,2022-01-04,03:30:00,3,30,1,0,W,Tuesday,Workday,Night
199118,2022-01-04,03:45:00,3,45,1,0,W,Tuesday,Workday,Night
199119,2022-01-04,04:00:00,4,0,1,0,W,Tuesday,Workday,Morning
199120,2022-01-04,04:15:00,4,15,1,0,W,Tuesday,Workday,Morning
